ID,USERID,FOND,RAZD,SDATE,SPRTD,BROYKA,USERTD,DALJ_OT,DALJ_DO,COD_LICE
7,RO30000386," 55 , 56 , 57 , 58 , 59 ",.,2008-08-12,29,171,3000,10000,999999999,1
10,RO30000253," 55 , 56 , 57 , 58 , 59 ",",",2008-08-13,01,36,3000,100000,999999999,1
17,RO17000004, 55 ,",",2008-08-14,17,76,1700,10000,999999999,1
36,RO28000062," 55 , 56 , 57 , 58 , 59 ",",",2008-08-18,28,96,2800,5000,999999999,2
37,RO29000120, 55 ,",",2008-08-18,29,11,2900,1000000,999999999,1
40,RO28000062," 55 , 56 , 57 , 58 , 59 ",",",2008-08-18,28,96,2800,5000,999999999,2
41,RO28000062," 55 , 56 , 57 , 58 , 59 ",",",2008-08-18,28,96,2800,5000,999999999,2
42,RO28000062," 55 , 56 , 57 , 58 , 59 ",",",2008-08-18,28,96,2800,5000,999999999,2
43,RO28000062," 55 , 56 , 57 , 58 , 59 ",",",2008-08-18,28,96,2800,5000,999999999,2
44,RO28000062," 55 , 56 , 57 , 58 , 59 ",.,2008-08-18,28,96,2800,5000,999999999,2
45,RO28000062," 55 , 56 , 57 , 58 , 59 ",.,2008-08-18,28,96,2800,5000,999999999,2
53,RO01000022," 55 , 56 , 57 , 58 , 59 ",",",2008-08-21,01,237,0100,10000,999999999,1
55,RO30000067," 55 , 56 , 57 , 58 , 59 ",",",2008-08-21,29,165,3000,10000,100000000,1
76,RO30000224," 55 , 56 , 57 , 58 , 59 ",",",2008-09-03,01,0,3000,-999999999,-10000000,1
77,RO30000224," 55 , 56 , 57 , 58 , 59 ",",",2008-09-03,22,0,3000,-999999999,-10000000,1
78,RO30000224," 55 , 56 , 57 , 58 , 59 ",",",2008-09-03,21,0,3000,-999999999,-10000000,1
79,RO30000224," 55 , 56 , 57 , 58 , 59 ",",",2008-09-03,21,0,3000,-100000000,-10000000,1
80,RO30000224," 55 , 56 , 57 , 58 , 59 ",",",2008-09-03,22,1514,3000,10000,999999999,1
81,RO30000224," 55 , 56 , 57 , 58 , 59 ",",",2008-09-03,30,0,3000,10000,999999999,1
82,RO30000224," 55 , 56 , 57 , 58 , 59 ",",",2008-09-03,30,0,3000,10000,999999999,1
